€09/25/02 15:34:48.326 core/Log             FILE OPENED€
€09/25/02 15:36:54.120 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:54.700 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:54.749 J1850               BusAck $1 $60€
€09/25/02 15:36:54.782 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:54.973 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:54.992 J1850               BusAck $1 $60€
€09/25/02 15:36:55.037 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:56.498 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:56.520 J1850               BusAck $1 $60€
€09/25/02 15:36:56.562 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:56.737 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:56.765 J1850               BusAck $1 $60€
€09/25/02 15:36:56.812 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:56.949 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:56.992 J1850               BusAck $1 $60€
€09/25/02 15:36:57.053 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:57.204 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:57.223 J1850               BusAck $1 $60€
€09/25/02 15:36:57.283 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:57.449 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:57.490 J1850               BusAck $1 $60€
€09/25/02 15:36:57.508 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:58.682 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:58.710 J1850               BusAck $1 $60€
€09/25/02 15:36:58.736 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:58.866 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:58.916 J1850               BusAck $1 $60€
€09/25/02 15:36:58.971 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:59.140 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:59.163 J1850               BusAck $1 $60€
€09/25/02 15:36:59.244 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:59.441 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:59.467 J1850               BusAck $1 $60€
€09/25/02 15:36:59.515 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:59.689 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:59.720 J1850               BusAck $1 $60€
€09/25/02 15:36:59.750 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:59.930 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:59.961 J1850               BusAck $1 $60€
€09/25/02 15:37:00.011 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:00.161 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:00.192 J1850               BusAck $1 $60€
€09/25/02 15:37:00.212 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:00.406 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:00.432 J1850               BusAck $1 $60€
€09/25/02 15:37:00.482 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:00.658 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:00.704 J1850               BusAck $1 $60€
€09/25/02 15:37:00.731 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:00.869 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:00.928 J1850               BusAck $1 $60€
€09/25/02 15:37:00.972 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:02.035 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:02.079 J1850               BusAck $1 $60€
€09/25/02 15:37:02.161 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:02.357 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:02.404 J1850               BusAck $1 $60€
€09/25/02 15:37:02.460 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:02.660 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:02.694 J1850               BusAck $1 $60€
€09/25/02 15:37:02.776 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:02.935 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:02.968 J1850               BusAck $1 $60€
€09/25/02 15:37:02.999 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:03.197 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:03.227 J1850               BusAck $1 $60€
€09/25/02 15:37:03.245 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:03.493 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:03.540 J1850               BusAck $1 $60€
€09/25/02 15:37:03.557 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:03.726 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:03.750 J1850               BusAck $1 $60€
€09/25/02 15:37:03.811 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:03.956 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:04.010 J1850               BusAck $1 $60€
€09/25/02 15:37:04.057 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:04.232 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:04.259 J1850               BusAck $1 $60€
€09/25/02 15:37:04.331 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:04.508 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:04.535 J1850               BusAck $1 $60€
€09/25/02 15:37:04.557 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:04.750 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:04.786 J1850               BusAck $1 $60€
€09/25/02 15:37:04.843 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:04.971 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:05.002 J1850               BusAck $1 $60€
€09/25/02 15:37:05.064 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:05.213 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:05.235 J1850               BusAck $1 $60€
€09/25/02 15:37:05.261 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:05.456 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:05.486 J1850               BusAck $1 $60€
€09/25/02 15:37:05.527 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:05.661 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:05.705 J1850               BusAck $1 $60€
€09/25/02 15:37:05.759 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:05.919 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:05.949 J1850               BusAck $1 $60€
€09/25/02 15:37:06.000 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:06.167 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:06.197 J1850               BusAck $1 $60€
€09/25/02 15:37:06.247 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:06.422 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:06.461 J1850               BusAck $1 $60€
€09/25/02 15:37:06.504 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:06.641 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:06.663 J1850               BusAck $1 $60€
€09/25/02 15:37:06.715 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:06.928 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:06.961 J1850               BusAck $1 $60€
€09/25/02 15:37:07.000 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:07.191 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:07.221 J1850               BusAck $1 $60€
€09/25/02 15:37:07.248 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:07.407 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:07.446 J1850               BusAck $1 $60€
€09/25/02 15:37:07.488 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:07.668 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:07.710 J1850               BusAck $1 $60€
€09/25/02 15:37:07.753 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:08.500 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:08.550 J1850               BusAck $1 $60€
€09/25/02 15:37:08.599 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:08.780 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:08.823 J1850               BusAck $1 $60€
€09/25/02 15:37:08.904 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:09.070 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:09.125 J1850               BusAck $1 $60€
€09/25/02 15:37:09.169 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:09.341 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:09.371 J1850               BusAck $1 $60€
€09/25/02 15:37:09.429 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:09.607 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:09.629 J1850               BusAck $1 $60€
€09/25/02 15:37:09.707 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:09.872 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:09.915 J1850               BusAck $1 $60€
€09/25/02 15:37:09.944 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:10.100 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:10.138 J1850               BusAck $1 $60€
€09/25/02 15:37:10.183 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:10.341 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:10.387 J1850               BusAck $1 $60€
€09/25/02 15:37:10.423 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:10.616 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:10.645 J1850               BusAck $1 $60€
€09/25/02 15:37:10.664 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:10.855 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:10.888 J1850               BusAck $1 $60€
€09/25/02 15:37:10.923 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:11.072 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:11.099 J1850               BusAck $1 $60€
€09/25/02 15:37:11.163 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:11.330 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:11.353 J1850               BusAck $1 $60€
€09/25/02 15:37:11.417 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:11.589 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:11.619 J1850               BusAck $1 $60€
€09/25/02 15:37:11.675 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:11.830 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:11.859 J1850               BusAck $1 $60€
€09/25/02 15:37:11.917 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:12.058 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:12.080 J1850               BusAck $1 $60€
€09/25/02 15:37:12.129 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:12.302 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:12.324 J1850               BusAck $1 $60€
€09/25/02 15:37:12.357 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:12.539 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:12.579 J1850               BusAck $1 $60€
€09/25/02 15:37:12.616 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:12.996 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:13.019 J1850               BusAck $1 $60€
€09/25/02 15:37:13.110 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:14.351 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:14.371 J1850               BusAck $1 $60€
€09/25/02 15:37:14.412 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:14.632 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:14.668 J1850               BusAck $1 $60€
€09/25/02 15:37:14.705 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:14.891 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:14.923 J1850               BusAck $1 $60€
€09/25/02 15:37:14.956 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:15.269 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:15.307 J1850               BusAck $1 $60€
€09/25/02 15:37:15.377 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:15.537 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:15.569 J1850               BusAck $1 $60€
€09/25/02 15:37:15.644 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:15.833 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:15.854 J1850               BusAck $1 $60€
€09/25/02 15:37:15.921 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:16.164 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:16.208 J1850               BusAck $1 $60€
€09/25/02 15:37:16.253 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:16.445 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:16.501 J1850               BusAck $1 $60€
€09/25/02 15:37:16.555 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:16.804 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:16.843 J1850               BusAck $1 $60€
€09/25/02 15:37:16.888 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:17.113 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:17.141 J1850               BusAck $1 $60€
€09/25/02 15:37:17.204 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:17.388 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:17.424 J1850               BusAck $1 $60€
€09/25/02 15:37:17.482 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:17.678 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:17.697 J1850               BusAck $1 $60€
€09/25/02 15:37:17.733 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:17.961 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:17.983 J1850               BusAck $1 $60€
€09/25/02 15:37:18.054 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:18.214 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:18.253 J1850               BusAck $1 $60€
€09/25/02 15:37:18.300 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:18.518 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:18.543 J1850               BusAck $1 $60€
€09/25/02 15:37:18.586 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:19.485 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:19.518 J1850               BusAck $1 $60€
€09/25/02 15:37:19.575 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:19.771 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:19.795 J1850               BusAck $1 $60€
€09/25/02 15:37:19.870 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:20.071 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:20.108 J1850               BusAck $1 $60€
€09/25/02 15:37:20.170 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:20.390 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:20.421 J1850               BusAck $1 $60€
€09/25/02 15:37:20.488 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:20.651 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:20.698 J1850               BusAck $1 $60€
€09/25/02 15:37:20.747 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:20.954 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:20.993 J1850               BusAck $1 $60€
€09/25/02 15:37:21.006 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:21.212 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:21.232 J1850               BusAck $1 $60€
€09/25/02 15:37:21.320 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:21.464 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:21.502 J1850               BusAck $1 $60€
€09/25/02 15:37:21.558 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:21.762 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:21.791 J1850               BusAck $1 $60€
€09/25/02 15:37:21.864 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:22.034 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:22.084 J1850               BusAck $1 $60€
€09/25/02 15:37:22.128 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:22.312 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:22.349 J1850               BusAck $1 $60€
€09/25/02 15:37:22.407 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:37:22.627 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:37:22.667 J1850               BusAck $1 $60€
